Name,Revenue,Profits,Assets,MarketValue,Employees,Industry,City,State,Country,Region,EconomicPole,Ticker,CeoTitle
Jiangsu Shagang Group,32751,141.7,25068,0,36710,Metals,Zhangjiagang,0,China,Asia,Growth,  ,President
POSCO,51752,151.7,68880,0,34327,Metals,Seoul,0,South Korea,Asia,Growth,PKX   ,"Chief Executive Officer, Director"
Community Health Systems,22678,158,26861,2087,123000,Health Care: Medical Facilities,Franklin,Tennessee,U.S.,N. America,Developed ,CYH   ,"Chairman, Chief Executive Officer"
Tewoo Group,64232,160.2,35187,0,17860,Trading,Tianjin,0,China,Asia,Growth,  ,Chairman
Rajesh Exports,25237,162.9,3435,0,358,Trading,Bengaluru,0,India,South Asia,Growth,0,"Executive Chairman, Chief Executive Officer"
Rite Aid,30737,165.5,11277,0,70580,Food and Drug Stores,Camp Hill,Pennsylvania,U.S.,N. America,Developed ,RAD   ,0
US Foods Holding,23128,167.5,9239,0,25000,Wholesalers: Food and Grocery,Rosemont,Illinois,U.S.,N. America,Developed ,USFD  ,0
VTB Bank,22449,175.1,187170,0,92882,Banks: Commercial and Savings,Moscow,0,Russia,Russia / CIS ,Growth,0,"President, Chief Executive Officer, Human Resources"
China Electronics,31537,176.3,38158,0,127875,"Electronics, Electrical Equip.",Beijing,0,China,Asia,Growth,  ,"President, Director"
China Datang,26440,183.5,112349,0,96204,Energy,Beijing,0,China,Asia,Growth,  ,President
World Fuel Services,30380,186.9,4549,3440,4700,Wholesalers: Diversified,Miami,Florida,U.S.,N. America,Developed ,INT   ,"President, Chief Executive Officer"
Enbridge,26436,196.3,60958,0,8652,Pipelines,"Calgary, Alberta",0,Canada,N. America,Developed ,ENB   ,"President, Chief Executive Officer"
Tesco,87633,208.7,61176,0,357835,Food and Drug Stores,Welwyn Garden City,0,Britain,Europe,Developed ,TSCDY ,Group Chief Executive Officer
Louis Dreyfus,55733,211,18592,0,17555,Food Production,Rotterdam,0,Netherlands,Europe,Developed ,  ,Chief Executive Officer
Ingram Micro,43026,215.1,12307,5328,27700,Wholesalers: Electronics and Office Equipment,Irvine,California,U.S.,N. America,Developed ,IM    ,"President, Chief Executive Officer"
Wuchan Zhongda Group,29052,220.3,11237,0,18218,Trading,Hangzhou,0,China,Asia,Growth,  ,"Vice Chairman, President"
Phoenix Pharmahandel,25642,223.7,8409,0,24842,Wholesalers: Health Care,Mannheim,0,Germany,Europe,Developed ,  ,Chief Executive Officer
HNA Group,29562,234.9,95339,0,175600,Airlines,Haikou City,0,China,Asia,Growth,  ,Chief Executive Officer
Medipal Holdings,25224,256.3,13324,0,14697,Wholesalers: Health Care,Tokyo,0,Japan,Asia,Developed ,MAHLY ,"President, Chief Executive Officer"
New York Life Insurance,45891,256.6,271668,0,11463,"Insurance: Life, Health (Mutual)",New York,New York,U.S.,N. America,Developed ,  ,"Chairman, President, Chief Executive Officer"
COFCO,64516,265.5,70682,0,121767,Trading,Beijing,0,China,Asia,Growth,  ,Chairman
Tech Data,26380,265.7,6358,2694,9000,Wholesalers: Electronics and Office Equipment,Clearwater,Florida,U.S.,N. America,Developed ,TECD  ,"Chief Executive Officer, Director"
Compal Electronics,26695,273.6,9985,0,72796,"Computers, Office Equipment",Taipei,0,Taiwan,Asia,Growth,0,"President, Chief Executive Officer"
Edeka Zentrale,32017,277.4,6791,0,346800,Wholesalers: Food and Grocery,Hamburg,0,Germany,Europe,Developed ,  ,"Chairman, Chief Executive Officer, Secretary"
JFE Holdings,28586,280.4,37684,0,59460,Metals,Tokyo,0,Japan,Asia,Developed ,JFEEF ,"President, Chief Executive Officer"
Korea Gas,23039,282.3,36156,0,3412,Energy,Daegu,0,South Korea,Asia,Growth,0,Chief Executive Officer
Zhejiang Geely Holding Group,26304,286.6,24839,0,45720,Motor Vehicles and Parts,Hangzhou,0,China,Asia,Growth,  ,Chairman
State Power Investment,30616,289.4,119163,0,126878,Energy,Beijing,0,China,Asia,Growth,  ,President
Alfresa Holdings,21461,291.3,11154,0,11788,Wholesalers: Health Care,Tokyo,0,Japan,Asia,Developed ,0,"Representative Director, President"
Unipol,21478,301.5,97512,0,13242,"Insurance: Life, Health (stock)",Bologna,0,Italy,Europe,Developed ,UFGSY ,"Chief Executive Officer, General Manager"
Wolseley,21720,332.4,11674,0,38464,Wholesalers: Diversified,Zug,0,Switzerland,Europe,Developed ,WOSYY ,"Group Chief Executive Officer, Director"
China National Aviation Fuel Group,22101,334.3,4875,0,11481,Wholesalers: Diversified,Beijing,0,China,Asia,Growth,  ,"President, Group Corporation"
Wm. Morrison Supermarkets,24522,337.7,13189,0,82992,Food and Drug Stores,Bradford,0,Britain,Europe,Developed ,MRWSY ,Chief Executive Officer
ThyssenKrupp,48981,353.8,39838,0,154906,Metals,Essen,0,Germany,Europe,Developed ,TKAMY ,"Chairman, Chief Executive Officer"
Centene,22795,355,7339,10464,18200,Health Care: Insurance and Managed Care,St. Louis,Missouri,U.S.,N. America,Developed ,CNC   ,"Chairman, President, Chief Executive Officer"
Staples,21059,379.2,10172,7123,58963,Specialty Retailers,Framingham,Massachusetts,U.S.,N. America,Developed ,SPLS  ,"Chairman, Chief Executive Officer"
China Metallurgical Group,35314,383.8,54555,0,136104,"Engineering, Construction",Beijing,0,China,Asia,Growth,  ,"Vice Chairman, President"
Mitsubishi Chemical Holdings,31846,386.9,36141,0,68988,Chemicals,Tokyo,0,Japan,Asia,Developed ,MTLHY ,"President, Chief Executive Officer"
TUI,22914,389.8,15722,0,76036,Miscellaneous,Hanover,0,Germany,Europe,Developed ,TUIFY ,Chief Executive Officer
Baosteel Group,36608,398.5,81516,0,124310,Metals,Shanghai,0,China,Asia,Growth,  ,President
Delhaize Group,27070,406,14155,0,116646,Food and Drug Stores,Brussels,0,Belgium,Europe,Developed ,DEG   ,"President, Chief Executive Officer"
George Weston,36683,412.2,27217,0,196000,Food and Drug Stores,"Toronto, Ontario",0,Canada,N. America,Developed ,WNGRF ,"President, Chief Executive Officer"
Achmea,25763,424.9,100926,0,15412,"Insurance: Life, Health (Mutual)",Zeist,0,Netherlands,Europe,Developed ,  ,Chief Executive Officer
Coop Group,26916,432.4,17642,0,67877,Food and Drug Stores,Basel,0,Switzerland,Europe,Developed ,  ,Chief Executive Officer
China State Shipbuilding,30191,437.9,41204,0,71257,Industrial Machinery,Beijing,0,China,Asia,Growth,  ,"Chairman, Secretary"
Sinopharm,44325,443.4,35156,0,104464,Pharmaceuticals,Beijing,0,China,Asia,Growth,  ,President
Flextronics International,24419,444.1,12385,0,200000,Semiconductors and Other Electronic Components,Singapore,0,Singapore,Asia,Developed ,FLEX  ,"Chief Executive Officer, Director"
Bouygues,36074,447,36752,0,120254,"Engineering, Construction",Paris,0,France,Europe,Developed ,BOUYF ,"Chairman, Chief Executive Officer"
