Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total,Speed_IAS_in_knots
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-727-200,None,ASTAR AIR CARGO,Kentucky,Descent,Large,Unknown bird - large,Night,0,0,0,280
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180
LIHUE ARPT,B-737-200,None,ALOHA AIRLINES,Hawaii,Take-off run,Small,Pacific golden-plover,Day,0,0,0,85
PHILADELPHIA INTL,B-737-300,None,US AIRWAYS*,Pennsylvania,Climb,Medium,Unknown bird - medium,Day,0,0,0,200
NEWARK LIBERTY INTL ARPT,MD-80,None,CONTINENTAL AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
CHARLESTON AFB/INTL ARPT,C-141B,None,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,200
PHILADELPHIA INTL,B-727,None,AMERICAN AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,230
BALTIMORE WASH INTL,MD-82,None,AMERICAN AIRLINES,Maryland,Climb,Small,Unknown bird - small,Dusk,0,0,0,250
METRO OAKLAND INTL,B-737-300,None,SOUTHWEST AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,150
SAN ANTONIO INTL,MD-82,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,130
NEWARK LIBERTY INTL ARPT,L-1011,None,TRANS WORLD AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,142
SAN ANTONIO INTL,B-737-200,None,SOUTHWEST AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,90
WASHINGTON DULLES INTL ARPT,B-737-300,Substantial,UNITED AIRLINES,DC,Landing Roll,Large,White-tailed deer,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-737,Medium,DELTA AIR LINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
LOUISVILLE INTL ARPT,DC-8,None,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Day,0,0,0,140
SAN ANTONIO INTL,B-737-300,Substantial,US AIRWAYS*,Texas,Climb,Large,Turkey vulture,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,C-650,None,BUSINESS,North Carolina,Approach,Medium,Unknown bird - medium,Night,0,0,0,120
LOGAN INTL,B-757-200,None,AMERICA WEST AIRLINES,Massachusetts,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,
METRO OAKLAND INTL,B-737-300,None,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,135
SAN ANTONIO INTL,MD-83,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,MD-82,None,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,180
LOUISVILLE INTL ARPT,B-727,None,AMERICAN AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,190
ATLANTA INTL,DC-9-30,None,US AIRWAYS*,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,200
SEATTLE-TACOMA INTL,MD-82,None,CONTINENTAL AIRLINES,Washington,Approach,Small,Short-eared owl,Night,0,0,0,110
DALLAS/FORT WORTH INTL ARPT,MD-82,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,154
NASHVILLE INTL,B-727,None,AMERICAN AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,120
CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,None,US AIRWAYS*,North Carolina,Take-off run,Small,Unknown bird - small,Night,0,0,0,
FORT LAUDERDALE/HOLLYWOOD INTL,B-727-200,None,AMERICAN AIRLINES,Florida,Descent,Medium,Unknown bird - medium,Day,0,0,0,270
WASHINGTON DULLES INTL ARPT,B-727-200,None,UNITED AIRLINES,DC,Landing Roll,Large,White-tailed deer,Night,0,0,0,100
DALLAS/FORT WORTH INTL ARPT,B-727,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,145
CHICAGO O'HARE INTL ARPT,A-300,None,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,170
WILL ROGERS WORLD ARPT,B-737,None,SOUTHWEST AIRLINES,Oklahoma,Climb,Medium,Unknown bird - medium,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,MD-80,None,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,150
NEWARK LIBERTY INTL ARPT,ATR-42,None,EXPRESSJET (CONTINENTAL EXPRS),New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,B-727-100,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,130
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,MD-80,None,AMERICAN AIRLINES,North Carolina,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,170
SAN FRANCISCO INTL ARPT,DC-10-10,None,UNITED AIRLINES,California,Approach,Small,European starling,Day,0,0,0,132
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,110
SAN ANTONIO INTL,B-737-300,None,SOUTHWEST AIRLINES,Texas,Climb,Small,Mourning dove,Day,0,0,0,170
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-727-200,Substantial,DELTA AIR LINES,Kentucky,Approach,Large,Unknown bird - large,Dusk,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,180
SACRAMENTO INTL,MD-82,Minor,AMERICAN AIRLINES,California,Approach,Large,Unknown bird - large,Night,0,0,0,240
GEORGE BUSH INTERCONTINENTAL,B-727-200,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,160
DALLAS/FORT WORTH INTL ARPT,B-727,None,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,
JOHN F KENNEDY INTL,DC-8-62,None,BUSINESS,New York,Approach,Small,Unknown bird - small,Night,0,0,0,170
NASHVILLE INTL,B-757-200,None,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,145
SEATTLE-TACOMA INTL,DHC8 DASH 8,None,HORIZON AIR,Washington,Approach,Small,Rock pigeon,Night,0,0,0,120
PHILADELPHIA INTL,B-727,None,NORTHWEST AIRLINES,Pennsylvania,Climb,Medium,Unknown bird - medium,Day,0,0,0,
WILL ROGERS WORLD ARPT,B-737-200,None,AMERICAN AIRLINES,Oklahoma,Approach,Small,Unknown bird - small,Night,0,0,0,145
LOGAN INTL,B-737-100,None,CONTINENTAL AIRLINES,Massachusetts,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,170
DALLAS/FORT WORTH INTL ARPT,B-727,None,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,200
ATLANTA INTL,MD-88,None,DELTA AIR LINES,Georgia,Approach,Small,European starling,Day,0,0,0,140
GREATER PITTSBURGH,DHC8 DASH 8,None,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,110
LOGAN INTL,B-737,None,US AIRWAYS*,Massachusetts,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,150
AUSTIN-BERGSTROM INTL,MD-82,None,AMERICAN AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Dawn,0,0,0,140
MINNEAPOLIS-ST PAUL INTL,C-130E,None,MILITARY,Minnesota,Approach,Medium,Unknown bird - medium,Night,0,0,0,150
LAGUARDIA NY,B-727-200,None,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
JOHN F KENNEDY INTL,MD-80,None,BUSINESS,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,
HONOLULU INTL ARPT,DC-10-10,None,AMERICAN AIRLINES,Hawaii,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,140
WASHINGTON DULLES INTL ARPT,B-727-200,Substantial,AMERICAN AIRLINES,DC,Descent,Large,Unknown bird - large,Night,0,0,0,280
LOGAN INTL,B-727-200,None,BUSINESS,Massachusetts,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
GREATER PITTSBURGH,MD-80,None,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,130
DALLAS/FORT WORTH INTL ARPT,DC-10,None,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
BALTIMORE WASH INTL,B-727-200,None,AMERICAN AIRLINES,Maryland,Climb,Medium,Unknown bird - medium,Night,0,0,0,200
NEWARK LIBERTY INTL ARPT,B-727-200,None,AMERICAN AIRLINES,New Jersey,Climb,Small,Unknown bird - small,Dusk,0,0,0,155
GEORGE BUSH INTERCONTINENTAL,EMB-120,Medium,EXPRESSJET (CONTINENTAL EXPRS),Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
LAMBERT-ST LOUIS INTL,DC-9,None,TRANS WORLD AIRLINES,Missouri,Approach,Medium,Unknown bird - medium,Day,0,0,0,150
METRO OAKLAND INTL,B-737-200,None,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,128
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-727,Minor,DELTA AIR LINES,Kentucky,Climb,Large,Unknown bird - large,Night,0,0,0,250
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,US AIRWAYS*,North Carolina,Climb,Large,Unknown bird - large,Night,0,0,0,
BALTIMORE WASH INTL,B-737-300,Medium,US AIRWAYS*,Maryland,Take-off run,Medium,Herring gull,Day,0,0,0,135
CHARLESTON AFB/INTL ARPT,C-141B,None,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,160
NASHVILLE INTL,B-727-200,None,AMERICAN AIRLINES,Tennessee,Descent,Medium,Unknown bird - medium,Night,0,0,0,250
WASHINGTON DULLES INTL ARPT,DC-10,Minor,UNITED AIRLINES,DC,Take-off run,Large,White-tailed deer,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,DC-9,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,145
NEW ORLEANS INTL,B-727-200,None,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,140
LAMBERT-ST LOUIS INTL,FOKKER F28 MK 1000,None,US AIRWAYS*,Missouri,Climb,Small,Unknown bird - small,Dawn,0,0,0,165
NASHVILLE INTL,B-727,None,AMERICAN AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,
GREATER PITTSBURGH,DC-9,Substantial,TRANS WORLD AIRLINES,Pennsylvania,Take-off run,Large,White-tailed deer,Night,0,0,0,
RONALD REAGAN WASHINGTON NATL,B-757-200,None,AMERICAN AIRLINES,DC,Descent,Medium,Unknown bird - medium,Night,0,0,0,220
LOS ANGELES INTL,B-767-200,Substantial,US AIRWAYS*,California,Take-off run,Small,Rock pigeon,Day,0,0,0,110
ORLANDO INTL,MD-88,Minor,AMERICAN AIRLINES,Florida,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130
MEMPHIS INTL,BA-31 JETSTR,Minor,PINNACLE,Tennessee,Climb,Medium,Unknown bird - medium,Night,0,0,0,160
RONALD REAGAN WASHINGTON NATL,ATR-42,None,AMERICAN EAGLE AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
CHICAGO O'HARE INTL ARPT,B-727-200,None,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,100
RONALD REAGAN WASHINGTON NATL,B-727,None,UNITED AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-767-300,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,145
ORLANDO INTL,B-737-400,Minor,US AIRWAYS*,Florida,Take-off run,Large,Unknown bird - large,Night,0,0,0,135
SACRAMENTO INTL,KC-135E,None,MILITARY,California,Landing Roll,Medium,Unknown bird or bat,Night,0,0,0,
RONALD REAGAN WASHINGTON NATL,C-650,None,UNKNOWN,DC,Approach,Medium,Ring-billed gull,Day,0,0,0,130
ATLANTA INTL,DC-8-70,None,UPS AIRLINES,Georgia,Approach,Small,European starling,Day,0,0,0,145
GREATER PITTSBURGH,B-737,None,US AIRWAYS*,Pennsylvania,Landing Roll,Large,White-tailed deer,Night,0,0,0,
CHICAGO O'HARE INTL ARPT,DC-10-10,Substantial,UNITED AIRLINES,Illinois,Take-off run,Medium,American crow,Day,0,0,0,159
CHICAGO O'HARE INTL ARPT,MD-80,None,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,
MEMPHIS INTL,B-737,Substantial,US AIRWAYS*,Tennessee,Descent,Large,Unknown bird - large,Night,0,0,0,320
SACRAMENTO INTL,B-757-200,None,AMERICAN AIRLINES,California,Approach,Large,Unknown bird - large,Night,0,0,0,130
DALLAS/FORT WORTH INTL ARPT,DC-10,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,
LOUISVILLE INTL ARPT,B-727,None,UNITED AIRLINES,Kentucky,Landing Roll,Small,Unknown bird - small,Night,0,0,0,100
PORTLAND INTL (OR),B-757-200,None,UPS AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
NEW ORLEANS INTL,B-737-300,None,SOUTHWEST AIRLINES,Louisiana,Climb,Small,Unknown bird - small,Night,0,0,0,140
LOGAN INTL,B-727,None,BUSINESS,Massachusetts,Landing Roll,Medium,Unknown bird - medium,Dawn,0,0,0,
LIHUE ARPT,B-737-200,None,ALOHA AIRLINES,Hawaii,Approach,Small,Pacific golden-plover,Day,0,0,0,135
LIHUE ARPT,B-737-200,None,ALOHA AIRLINES,Hawaii,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-727-200,Minor,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,250
LIHUE ARPT,B-737-200,None,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120
LOGAN INTL,B-727,None,DELTA AIR LINES,Massachusetts,Approach,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-737,None,DELTA AIR LINES,Texas,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,
SAN ANTONIO INTL,MD-80,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
LIHUE ARPT,B-737-300,None,ALOHA AIRLINES,Hawaii,Take-off run,Small,Pacific golden-plover,Day,0,0,0,140
LOGAN INTL,B-727,None,DELTA AIR LINES,Massachusetts,Climb,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,MILITARY,Louisiana,Approach,Large,Turkey vulture,Day,0,983,983,210
GREATER PITTSBURGH,MD-82,None,US AIRWAYS*,Pennsylvania,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
SEATTLE-TACOMA INTL,SA227 AC METRO III,Minor,HORIZON AIR,Washington,Approach,Small,Unknown bird - small,Dawn,0,0,0,120
GREATER PITTSBURGH,DC-9-30,None,US AIRWAYS*,Pennsylvania,Approach,Small,European starling,Day,0,0,0,140
SACRAMENTO INTL,B-757-200,Substantial,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,
ORLANDO INTL,B-727,None,AMERICAN AIRLINES,Florida,Climb,Medium,Unknown bird - medium,Day,0,0,0,160
DALLAS/FORT WORTH INTL ARPT,DC-10-30,None,AMERICAN AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,110
SACRAMENTO INTL,SA227 AC METRO III,Medium,SKYWEST AIRLINES,California,Descent,Large,Unknown bird - large,Night,0,0,0,170
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-737,None,DELTA AIR LINES,Kentucky,Approach,Medium,Unknown bird - medium,Day,0,0,0,140
CLEVELAND-HOPKINS INTL ARPT,PA-31 NAVAJO,None,UNKNOWN,Ohio,Approach,Large,Canada goose,Night,0,0,0,120
METRO OAKLAND INTL,B-737-500,Medium,SOUTHWEST AIRLINES,California,Approach,Large,Canada goose,Day,0,0,0,130
SACRAMENTO INTL,C-182 SKYLAN,None,PRIVATELY OWNED,California,Descent,Medium,Unknown bird - medium,Night,0,0,0,135
LIHUE ARPT,B-737-200,None,ALOHA AIRLINES,Hawaii,Approach,Small,Zebra dove,Day,0,0,0,135
LIHUE ARPT,B-737-300,None,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Zebra dove,Day,0,0,0,100
SAN FRANCISCO INTL ARPT,B-767,None,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,110
NASHVILLE INTL,B-727,None,AMERICAN AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
JOHN F KENNEDY INTL,A-300,Minor,AMERICAN AIRLINES,New York,Climb,Medium,Unknown bird - medium,Day,0,0,0,190
ORLANDO INTL,DC-10-10,None,AMERICAN AIRLINES,Florida,Climb,Medium,Unknown bird - medium,Day,0,0,0,175
RONALD REAGAN WASHINGTON NATL,MD-80,None,NORTHWEST AIRLINES,DC,Approach,Medium,Ring-billed gull,Day,0,0,0,125
HONOLULU INTL ARPT,EC-135,None,MILITARY,Hawaii,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,DC-9,None,NORTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
SACRAMENTO INTL,B-757-200,None,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Dawn,0,0,0,150
LOS ANGELES INTL,DC-10-40,Medium,NORTHWEST AIRLINES,California,Take-off run,Small,Rock pigeon,Day,0,0,0,120
GREATER PITTSBURGH,B-737-400,Substantial,US AIRWAYS*,Pennsylvania,Approach,Large,Unknown bird - large,Night,0,0,0,180
CHARLESTON AFB/INTL ARPT,C-5,None,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,139
DALLAS/FORT WORTH INTL ARPT,DC-10-10,None,AMERICAN AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,120
LAGUARDIA NY,B-737-300,None,CONTINENTAL AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,135
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-767,None,DELTA AIR LINES,Kentucky,Landing Roll,Small,Unknown bird - small,Day,0,0,0,135
DALLAS/FORT WORTH INTL ARPT,B-727,None,DELTA AIR LINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
MINETA SAN JOSE INTL,MD-80,None,AMERICAN AIRLINES,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100
NEWARK LIBERTY INTL ARPT,A-300,None,CONTINENTAL AIRLINES,New Jersey,Approach,Large,Unknown bird - large,Night,0,0,0,
SACRAMENTO INTL,MD-80,None,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,133
LIHUE ARPT,B-737-200,None,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Zebra dove,Day,0,0,0,120
RONALD REAGAN WASHINGTON NATL,RKWLTRBO 690,None,BUSINESS,DC,Approach,Medium,Ring-billed gull,Day,0,0,0,120
SAN FRANCISCO INTL ARPT,LEARJET-35,None,BUSINESS,California,Approach,Small,Unknown bird - small,Day,0,0,0,115
LIHUE ARPT,DC-9-50,None,HAWAIIAN AIR,Hawaii,Take-off run,Small,Barn owl,Day,0,0,0,100
DALLAS/FORT WORTH INTL ARPT,B-727-200,Substantial,AMERICAN AIRLINES,Texas,Climb,Large,Unknown bird - large,Night,0,0,0,250
SAN FRANCISCO INTL ARPT,A-320,None,AMERICA WEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,
METRO OAKLAND INTL,B-737-300,None,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,210
CHARLESTON AFB/INTL ARPT,C-141B,None,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,140
PHILADELPHIA INTL,AEROS SN601,None,BUSINESS,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
CHICAGO O'HARE INTL ARPT,B-727,None,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,145
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,130
CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,None,US AIRWAYS*,North Carolina,Landing Roll,Medium,Unknown bird - medium,Dawn,0,0,0,
CHICAGO O'HARE INTL ARPT,MD-80,None,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,134
LOUISVILLE INTL ARPT,B-757-200,None,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
MINETA SAN JOSE INTL,MD-80,None,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,135
NEWARK LIBERTY INTL ARPT,B-767,None,TRANS WORLD AIRLINES,New Jersey,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,B-727,None,UNITED AIRLINES,DC,Take-off run,Large,Unknown bird - large,Night,0,0,0,
GREATER PITTSBURGH,SAAB-340,None,CHAUTAUQUA AIRLINES,Pennsylvania,Climb,Small,Unknown bird - small,Day,0,0,0,125
ORLANDO INTL,B-727,None,AMERICAN AIRLINES,Florida,Descent,Small,Unknown bird - small,Night,0,0,0,200
JOHN F KENNEDY INTL,B-747-400,Substantial,JAPAN AIRLINES,New York,Climb,Medium,Herring gull,Day,0,0,0,
EPPLEY AIRFIELD,B-727,None,NORTHWEST AIRLINES,Nebraska,Climb,Medium,Unknown bird - medium,Day,0,0,0,170
NEW ORLEANS INTL,FOKKER F100,None,US AIRWAYS*,Louisiana,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
SACRAMENTO INTL,MD-82,Minor,AMERICAN AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,160
JOHN F KENNEDY INTL,PA-28,Minor,BUSINESS,New York,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,
CHICAGO O'HARE INTL ARPT,DC-10,None,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,
METRO OAKLAND INTL,B-737-200,None,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,150
PORT COLUMBUS INTL,MD-80,None,AMERICAN AIRLINES,Ohio,Climb,Small,Unknown bird - small,Dawn,0,0,0,140
LOS ANGELES INTL,L-1011,None,TRANS WORLD AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,235
NASHVILLE INTL,B-727-200,None,AMERICAN AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Night,0,0,0,230
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,170
METRO OAKLAND INTL,B-737-300,Substantial,SOUTHWEST AIRLINES,California,Landing Roll,Large,Canada goose,Day,0,0,0,90
PHILADELPHIA INTL,B-757-200,Substantial,DELTA AIR LINES,Pennsylvania,Take-off run,Large,Canada goose,Day,0,0,0,
SEATTLE-TACOMA INTL,B-757-200,None,AMERICAN AIRLINES,Washington,Approach,Small,Unknown bird - small,Day,0,0,0,180
CHARLOTTE/DOUGLAS INTL ARPT,LEARJET-35,Medium,BUSINESS,North Carolina,Landing Roll,Large,Canada goose,Day,0,0,0,118
NASHVILLE INTL,B-727-200,None,AMERICAN AIRLINES,Tennessee,Landing Roll,Medium,Unknown bird - medium,Dusk,0,0,0,100
LAGUARDIA NY,B-727-200,None,UNITED AIRLINES,New York,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,105
WASHINGTON DULLES INTL ARPT,B-737,None,BUSINESS,DC,Approach,Large,Canada goose,Night,0,0,0,160
HOUSTON-HOBBY,B-737-200,None,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,210
BALTIMORE WASH INTL,B-757-200,None,US AIRWAYS*,Maryland,Approach,Small,Unknown bird - small,Night,0,0,0,160
SAN FRANCISCO INTL ARPT,A-300,None,CONTINENTAL AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,
CHICAGO O'HARE INTL ARPT,B-727-100,None,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,125
EPPLEY AIRFIELD,MD-82,None,AMERICAN AIRLINES,Nebraska,Approach,Medium,Unknown bird - medium,Night,0,0,0,135
DALLAS/FORT WORTH INTL ARPT,DC-10,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-727,None,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,115
PHILADELPHIA INTL,B-737-200,None,US AIRWAYS*,Pennsylvania,Approach,Large,Unknown bird - large,Night,0,0,0,180
NEW ORLEANS INTL,B-737-300,Minor,SOUTHWEST AIRLINES,Louisiana,Approach,Large,Unknown bird - large,Day,0,0,0,210
ATLANTA INTL,DC-9,Substantial,US AIRWAYS*,Georgia,Approach,Large,Unknown bird - large,Night,0,0,0,140
PHOENIX SKY HARBOR,B-737-200,None,SOUTHWEST AIRLINES,Arizona,Climb,Small,Unknown bird - small,Day,0,0,0,250
